category,category_label,name,legal_name,town,url,website
school,Школа,АШУКИНСКИЙ ОБРАЗОВАТЕЛЬНЫЙ КОМПЛЕКС,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ПУШКИНСКИЙ МОСКОВСКОЙ ОБЛАСТИ ""АШУКИНСКИЙ ОБРАЗОВАТЕЛЬНЫЙ КОМПЛЕКС""",поселок Ашукино,https://moskva.fulledu.ru/school/shkola-916-410821/about/,
school,Школа,Балашиха-спорт,"Муниципальное Бюджетное Образовательное Учреждение Дополнительного Образования Детей Городского Округа Балашиха ""детско-Юношеская Спортивная Школа ""балашиха-Спорт""",Балашиха,https://moskva.fulledu.ru/school/shkola-mbou-dussh-balashiha-sport/about/,
school,Школа,Барабановская средняя общеобразовательная школа,Барабановская средняя общеобразовательная школа,деревня Барабаново,https://moskva.fulledu.ru/school/barabanovskaya-srednyaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,Барвихинская средняя общеобразовательная школа,Муниципальное Бюджетное  Общеобразовательное  Учреждение Барвихинская Средняя Общеобразовательная Школа,поселок Барвиха,https://moskva.fulledu.ru/school/mbou-barvihinskaya-srednyaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,Барыбинская средняя общеобразовательная школа,Барыбинская средняя общеобразовательная школа,Домодедово,https://moskva.fulledu.ru/school/barybinskaya-srednyaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,Беззубовская основная общеобразовательная школа,Беззубовская основная общеобразовательная школа,деревня Беззубово,https://moskva.fulledu.ru/school/bezzubovskaya-osnovnaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,"Беловежская улица, дом 7",Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 384 имени Д.К. Корнеева,Москва,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-811/about/,
school,Школа,Белоколпская средняя общеобразовательная школа,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БЕЛОКОЛПСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""",село Белая Колпь,https://moskva.fulledu.ru/school/belokolpskaya-srednyaya-obscheobrazovatelnaya-shkola/about/,
school,Школа,Белоомутская основная общеобразовательная школа №2,Муниципальное Казенное  Общеобразовательное  Учреждение  Белоомутская  Основная  Общеобразовательная  Школа  №2,поселок городского типа Белоомут,https://moskva.fulledu.ru/school/mkou-beloomutskaya-osnovnaya-obscheobrazovatelnaya-shkola-2/about/,
school,Школа,Белоомутская средняя общеобразовательная школа № 2,Белоомутская средняя общеобразовательная школа № 2,поселок городского типа Белоомут,https://moskva.fulledu.ru/school/beloomutskaya-srednyaya-obscheobrazovatelnaya-shkola-2/about/,
