category,category_label,name,legal_name,town
sadik,Детский сад,10 ryabinka detskiy sad centr razvitiya rebenka,10 ryabinka detskiy sad centr razvitiya rebenka,
sadik,Детский сад,10 solnyshko detskiy sad,10 solnyshko detskiy sad,
sadik,Детский сад,1000 detskiy sad,1000 detskiy sad,
sadik,Детский сад,1002 detskiy sad s yaselnymi gruppami,1002 detskiy sad s yaselnymi gruppami,
sadik,Детский сад,1003 detskiy sad kombinirovannogo vida,1003 detskiy sad kombinirovannogo vida,
sadik,Детский сад,1004 detskiy sad s yaselnoy gruppoy,1004 detskiy sad s yaselnoy gruppoy,
sadik,Детский сад,1006 detskiy sad,1006 detskiy sad,
sadik,Детский сад,1007 detskiy sad,1007 detskiy sad,
sadik,Детский сад,1008 detskiy sad,1008 detskiy sad,
sadik,Детский сад,101 detskiy sad 6809,101 detskiy sad 6809,
sadik,Детский сад,1011 detskiy sad,1011 detskiy sad,
sadik,Детский сад,1012 detskiy sad,1012 detskiy sad,
sadik,Детский сад,1014 detskiy sad,1014 detskiy sad,
sadik,Детский сад,1014 detskiy sad s yaselnymi gruppami,1014 detskiy sad s yaselnymi gruppami,
sadik,Детский сад,1017 detskiy sad,1017 detskiy sad,
sadik,Детский сад,1018 detskiy sad,1018 detskiy sad,
sadik,Детский сад,1071 detskiy sad,1071 detskiy sad,
sadik,Детский сад,11 detskiy sad 2835,11 detskiy sad 2835,
sadik,Детский сад,11 golubok detskiy sad centr razvitiya rebenka,11 golubok detskiy sad centr razvitiya rebenka,
sadik,Детский сад,11 luch detskiy sad nachalnaya shkola,11 luch detskiy sad nachalnaya shkola,
sadik,Детский сад,11 pchelka detskiy sad,11 pchelka detskiy sad,
sadik,Детский сад,11 ryabinka detskiy sad centr razvitiya rebenka,11 ryabinka detskiy sad centr razvitiya rebenka,
sadik,Детский сад,1149 detskiy sad kompensiruuschego vida s logopedicheskimi i yaselnymi gruppami,1149 detskiy sad kompensiruuschego vida s logopedicheskimi i yaselnymi gruppami,
sadik,Детский сад,1150 detskiy sad s yaselnymi gruppami,1150 detskiy sad s yaselnymi gruppami,
sadik,Детский сад,1152 detskiy sad kombinirovannogo vida logopedicheskiy s yaselnymi gruppami,1152 detskiy sad kombinirovannogo vida logopedicheskiy s yaselnymi gruppami,
sadik,Детский сад,1153 detskiy sad kompensiruuschego vida logopedicheskiy,1153 detskiy sad kompensiruuschego vida logopedicheskiy,
sadik,Детский сад,1155 detskiy sad,1155 detskiy sad,
sadik,Детский сад,1155 detskiy sad s yaselnymi i kruglosutochnymi gruppami,1155 detskiy sad s yaselnymi i kruglosutochnymi gruppami,
sadik,Детский сад,1193 detskiy sad kombinirovannogo vida s logopedicheskimi i yaselnymi gruppami,1193 detskiy sad kombinirovannogo vida s logopedicheskimi i yaselnymi gruppami,
sadik,Детский сад,1196 detskiy sad kompensiruuschego vida logopedicheskiy kruglosutochnyy,1196 detskiy sad kompensiruuschego vida logopedicheskiy kruglosutochnyy,
sadik,Детский сад,1197 detskiy sad s yaselnymi gruppami,1197 detskiy sad s yaselnymi gruppami,
sadik,Детский сад,1199 detskiy sad s kruglosutochnymi yaselnymi gruppami,1199 detskiy sad s kruglosutochnymi yaselnymi gruppami,
sadik,Детский сад,12 detskiy sad 1518,12 detskiy sad 1518,
sadik,Детский сад,12 detskiy sad 3610,12 detskiy sad 3610,
sadik,Детский сад,12 detskiy sad 8406,12 detskiy sad 8406,
sadik,Детский сад,12 detskiy sad 9511,12 detskiy sad 9511,
sadik,Детский сад,12 detskiy sad kombinirovannogo vida s logopedicheskimi gruppami,12 detskiy sad kombinirovannogo vida s logopedicheskimi gruppami,
sadik,Детский сад,12 duymovochka detskiy sad,12 duymovochka detskiy sad,
sadik,Детский сад,12 ivushka detskiy sad,12 ivushka detskiy sad,
sadik,Детский сад,12 solnyshko detskiy sad centr razvitiya rebenka,12 solnyshko detskiy sad centr razvitiya rebenka,
sadik,Детский сад,12 yagodka detskiy sad,12 yagodka detskiy sad,
sadik,Детский сад,12 zolotoy petushok detskiy sad centr razvitiya rebenka,12 zolotoy petushok detskiy sad centr razvitiya rebenka,
sadik,Детский сад,1200 detskiy sad,1200 detskiy sad,
sadik,Детский сад,1201 detskiy sad s yaselnymi gruppami,1201 detskiy sad s yaselnymi gruppami,
sadik,Детский сад,1202 detskiy sad,1202 detskiy sad,
sadik,Детский сад,1207 detskiy sad,1207 detskiy sad,
sadik,Детский сад,1210 detskiy sad kompensiruuschego vida logopedicheskiy kruglosutochnyy,1210 detskiy sad kompensiruuschego vida logopedicheskiy kruglosutochnyy,
sadik,Детский сад,1212 detskiy sad kompensiruuschego vida logopedicheskiy,1212 detskiy sad kompensiruuschego vida logopedicheskiy,
sadik,Детский сад,1213 detskiy sad s yaselnymi gruppami,1213 detskiy sad s yaselnymi gruppami,
sadik,Детский сад,1216 detskiy sad,1216 detskiy sad,
sadik,Детский сад,1221 detskiy sad kombinirovannogo vida ortopedicheskaya gruppa,1221 detskiy sad kombinirovannogo vida ortopedicheskaya gruppa,
sadik,Детский сад,1224 detskiy sad kombinirovannogo vida s ortopedicheskimi i yaselnymi gruppami,1224 detskiy sad kombinirovannogo vida s ortopedicheskimi i yaselnymi gruppami,
sadik,Детский сад,1234 detskiy sad kombinirovannogo vida s logopedicheskoy gruppoy,1234 detskiy sad kombinirovannogo vida s logopedicheskoy gruppoy,
sadik,Детский сад,1236 detskiy sad,1236 detskiy sad,
sadik,Детский сад,1237 detskiy sad kompensiruuschego vida dlya oslablennyh detey sanatornoozdorovitelnyy,1237 detskiy sad kompensiruuschego vida dlya oslablennyh detey sanatornoozdorovitelnyy,
sadik,Детский сад,1241 detskiy sad,1241 detskiy sad,
sadik,Детский сад,1241 detskiy sad s yaselnymi gruppami,1241 detskiy sad s yaselnymi gruppami,
sadik,Детский сад,1242 detskiy sad,1242 detskiy sad,
sadik,Детский сад,1244 detskiy sad s yaselnymi gruppami,1244 detskiy sad s yaselnymi gruppami,
